id;investor_id;property_id;amount;units;reference_code;status;created_at;updated_at
95137194-1549-40a4-af17-674eb7347906;bc4ade7f-b530-47ff-8207-066cdd1b125b;d4b1ba08-343d-496c-a915-78523f9b281a;5000000;0;INV-1746722655912;pending;2025-05-08 16:44:15.928895+00;2025-05-08 16:44:15.928895+00
d3e8eb1a-47d7-4820-991c-0a50c14bfb77;e35a17c5-0db5-4159-8ad5-bb3287efe324;d4b1ba08-343d-496c-a915-78523f9b281a;100000;0;INV-1746723153463;pending;2025-05-08 16:52:33.47872+00;2025-05-08 16:52:33.47872+00
8769b90a-19f9-4858-a15e-c4da4376d3ba;3f746f1d-a1c0-4755-b74b-002a71afa0a4;d4b1ba08-343d-496c-a915-78523f9b281a;80000;0;INV-1746735095815;pending;2025-05-08 20:11:35.835096+00;2025-05-08 20:11:35.835096+00
cf7bc1c2-2bf5-4288-a91e-9775ece1c44b;3f746f1d-a1c0-4755-b74b-002a71afa0a4;d4b1ba08-343d-496c-a915-78523f9b281a;10000000;0;INV-1746735131608;pending;2025-05-08 20:12:11.628967+00;2025-05-08 20:12:11.628967+00
64d77b54-0396-4763-8c16-62bb1f0f0e50;004dd61e-38a0-4425-bf46-2968bf945a53;d4b1ba08-343d-496c-a915-78523f9b281a;7000000;0;INV-1746735155022;pending;2025-05-08 20:12:35.042605+00;2025-05-08 20:12:35.042605+00
421c2264-e773-446a-b611-14d6d7bc6f9d;5186e346-7baf-40f9-8d1b-ab66492b06c1;d4b1ba08-343d-496c-a915-78523f9b281a;20000000;1;INV-1746997398479;pending;2025-05-11 21:03:18.496115+00;2025-05-11 21:03:18.496115+00
7b1bc0f7-3e83-4c75-b1c0-4011777efbd5;1a7952c6-f3d8-4ee3-81bb-fb4ffe26d78a;d4b1ba08-343d-496c-a915-78523f9b281a;390000;0;INV-1747094791324;pending;2025-05-13 00:06:31.33974+00;2025-05-13 00:06:31.33974+00
2ec5807c-4151-4dbe-bce4-c8dc1ef2a758;bc4ade7f-b530-47ff-8207-066cdd1b125b;d4b1ba08-343d-496c-a915-78523f9b281a;30000;0;INV-1747099934212;pending;2025-05-13 01:32:14.228274+00;2025-05-13 01:32:14.228274+00
f937e544-3a7f-4814-9483-1afaac824daa;8e618d50-d886-4cd7-a892-5a72ebb61923;d4b1ba08-343d-496c-a915-78523f9b281a;450000;0;INV-1747145743162;pending;2025-05-13 14:15:43.179329+00;2025-05-13 14:15:43.179329+00
b536ef80-9f7e-488f-a7a7-acef0770d1ec;ff5af0fb-ef90-465d-8b13-53158953bc6a;d4b1ba08-343d-496c-a915-78523f9b281a;90000;0;INV-1747171838485;pending;2025-05-13 21:30:38.504249+00;2025-05-13 21:30:38.504249+00
a11b8603-147a-42a0-95c9-b6a3ceb80031;75dc4f9d-bd4b-4c1b-b3f6-1d22084c00d5;d4b1ba08-343d-496c-a915-78523f9b281a;500000;0;INV-1747172252375;pending;2025-05-13 21:37:32.393095+00;2025-05-13 21:37:32.393095+00
73f76a5c-3a91-45d0-af27-21b5e990e784;128bd92a-479e-4c13-b33b-1a1de720ae8f;d4b1ba08-343d-496c-a915-78523f9b281a;100000;0;INV-1747228710254;pending;2025-05-14 13:18:30.273787+00;2025-05-14 13:18:30.273787+00
4b8f68af-e020-4adb-90de-9d80541e4411;92945a88-5b2a-4b7b-8e53-60653b051bb9;d4b1ba08-343d-496c-a915-78523f9b281a;30000;0;INV-1747240564204;pending;2025-05-14 16:36:04.219913+00;2025-05-14 16:36:04.219913+00
18790111-54ea-4dfb-b8e1-f7f753027522;dcedc431-89e8-4e6e-9ccc-e867c84fc966;d4b1ba08-343d-496c-a915-78523f9b281a;1000000;0;INV-1747249658330;pending;2025-05-14 19:07:38.342844+00;2025-05-14 19:07:38.342844+00
bce9375e-020f-439b-934b-5249b46aae3f;d6c728a3-487c-4e53-a682-2c3c16df4751;d4b1ba08-343d-496c-a915-78523f9b281a;100000;0;INV-1747304261491;pending;2025-05-15 10:17:41.505501+00;2025-05-15 10:17:41.505501+00
8fe49c4a-48d2-495b-bfa4-db9d92f304ca;bc4ade7f-b530-47ff-8207-066cdd1b125b;d4b1ba08-343d-496c-a915-78523f9b281a;16000000;1;INV-1747507484905;pending;2025-05-17 18:44:44.92125+00;2025-05-17 18:44:44.92125+00
673ffba5-48cf-46ae-966d-cc218f63374a;0d614602-3ce7-44c6-b156-ee98017a045b;d4b1ba08-343d-496c-a915-78523f9b281a;100000;0;INV-1747673062002;pending;2025-05-19 16:44:22.019319+00;2025-05-19 16:44:22.019319+00
573395af-c29b-4e8f-a2fe-5739962c16a7;26a5e921-81b7-4ea9-af83-fc78feff3bad;d4b1ba08-343d-496c-a915-78523f9b281a;10000000;0;INV-1747673543359;pending;2025-05-19 16:52:23.376023+00;2025-05-19 16:52:23.376023+00
41fbdba4-6089-4fa1-b7ba-aac948eeddee;a865586c-3cdb-401e-86ec-e15047ab4d98;d4b1ba08-343d-496c-a915-78523f9b281a;5000000;0;INV-1747834375928;pending;2025-05-21 13:32:55.943305+00;2025-05-21 13:32:55.943305+00
bd714524-e7c5-47ec-94b0-cd616c4dd5e0;d9b09e10-1f71-4c26-83e3-16fc74b5e264;d4b1ba08-343d-496c-a915-78523f9b281a;320000;0;INV-1747956824236;pending;2025-05-22 23:33:44.2523+00;2025-05-22 23:33:44.2523+00
a5099a5f-6dee-4a31-9a3e-36c4d02f7f4d;91ef8ade-824d-499e-a450-65aaa57b6e74;d4b1ba08-343d-496c-a915-78523f9b281a;1132353;35;INV-1748274704656;pending;2025-05-26 15:51:44.67552+00;2025-05-26 15:51:44.67552+00
9d048b05-e64f-4e48-be6a-91dd1e4a7ab1;e78e13a0-1cd5-473c-88c2-fe171e2c3c77;d4b1ba08-343d-496c-a915-78523f9b281a;226471;7;INV-1748292799121;pending;2025-05-26 20:53:19.138328+00;2025-05-26 20:53:19.138328+00
4d91dd9e-368a-4ea7-b422-bde6f7423769;b988da2d-e981-4efb-9b1f-5fcf386ed26a;d4b1ba08-343d-496c-a915-78523f9b281a;1002941;31;INV-1748375965195;pending;2025-05-27 19:59:25.212116+00;2025-05-27 19:59:25.212116+00
cc3766c9-b588-4035-a38f-f03135c7cecf;c8305168-3bec-4240-8188-72831f1373b8;d4b1ba08-343d-496c-a915-78523f9b281a;2102941;65;INV-1748633657862;pending;2025-05-30 19:34:17.880439+00;2025-05-30 19:34:17.880439+00
454aeaaf-0934-4f0b-9c28-19c8c7617995;a458332c-cd69-4d78-b9c5-0dec087436ed;d4b1ba08-343d-496c-a915-78523f9b281a;10061765;311;INV-1748710289411;pending;2025-05-31 16:51:29.428524+00;2025-05-31 16:51:29.428524+00